sale_id;date_key;product_key;customer_key;country_key;quantity;unit_price;currency
1;20201025;45;167;34;9;95.86;EUR
2;20200319;17;579;81;9;218.45;JPY
3;20240430;47;997;81;9;293.04;JPY
4;20220509;47;244;91;11;294.99;INR
5;20211224;22;58;1;16;74.86;USD
6;20200311;28;729;49;15;43.16;EUR
7;20200831;27;889;49;18;228.06;EUR
8;20230313;8;246;39;12;452.5;EUR
9;20220408;10;922;1;11;350.37;USD
10;20220507;26;780;33;19;171.3;EUR
11;20190908;20;287;55;4;205.92;BRL
12;20240313;9;491;91;15;50.95;INR
13;20190819;33;468;49;11;168.7;EUR
14;20210617;13;310;1;13;68.81;USD
15;20201201;37;877;33;8;395.98;EUR
16;20240520;11;738;1;9;169.41;USD
17;20230604;47;561;33;8;312.64;EUR
18;20241129;20;444;91;1;131.2;INR
19;20190804;35;490;33;12;73.63;EUR
20;20200713;49;344;49;17;130.18;EUR
21;20200228;48;17;86;5;460.83;CNY
22;20211122;13;173;55;18;81.23;BRL
23;20210907;25;692;91;2;215.69;INR
24;20190301;44;7;49;5;360.41;EUR
25;20191017;16;813;34;16;46.16;EUR
26;20241116;43;476;55;7;36.21;BRL
27;20191004;48;730;86;20;405.58;CNY
28;20200607;15;552;39;7;109.4;EUR
29;20190126;22;113;49;12;85.8;EUR
30;20240712;9;461;91;15;47.83;INR
31;20191209;31;76;39;3;211.08;EUR
32;20230704;32;180;34;20;212.37;EUR
33;20240908;35;440;39;2;74.98;EUR
34;20240709;1;415;34;20;320.06;EUR
35;20210718;28;975;86;4;61.38;CNY
36;20231214;3;611;91;6;187.84;INR
37;20210416;44;505;55;14;378.43;BRL
38;20221110;7;906;33;6;48.26;EUR
39;20220226;2;548;49;18;365.7;EUR
40;20200321;33;937;55;18;261.13;BRL
41;20230927;2;972;39;2;301.67;EUR
42;20220619;34;969;1;6;255.71;USD
43;20240605;50;891;1;2;261.32;USD
44;20190310;22;705;91;20;106.45;INR
45;20240410;40;688;49;2;149.72;EUR
46;20240819;25;476;55;14;403.21;BRL
47;20240113;30;381;49;9;434.3;EUR
48;20240722;42;200;1;11;273.47;USD
49;20211005;32;910;49;9;271.44;EUR
50;20240716;16;713;1;17;52.92;USD
51;20200212;27;175;39;2;209.41;EUR
52;20200202;34;521;91;8;179.24;INR
53;20220731;41;395;49;17;252.36;EUR
54;20210804;23;535;49;13;218.93;EUR
55;20190708;18;435;81;19;126.74;JPY
56;20240905;1;247;34;4;563.78;EUR
